input_doc	distance	class	class_match	keyword_match	ref_match
epidemiology	0.09845295595695758	epidemiology	1	0	0
epidemiology	0.10056930867484282	epidemiology	1	0	0
epidemiology	0.1353351817720001	ecology	0	0	0
epidemiology	0.14164493718614957	evolutionary biology	0	0	0
epidemiology	0.14566288169024422	ecology	0	1	0
epidemiology	0.14822355634729345	animal behavior and cognition	0	0	0
epidemiology	0.15114505691853242	ecology	0	0	0
epidemiology	0.1543325235210362	evolutionary biology	0	0	0
epidemiology	0.15504353363926293	evolutionary biology	0	0	0
epidemiology	0.15572918334313446	animal behavior and cognition	0	0	0
epidemiology	0.15746190480560818	evolutionary biology	0	0	0
epidemiology	0.16167539772897033	epidemiology	1	0	0
epidemiology	0.16374028833092624	scientific communication and education	0	0	0
epidemiology	0.16527432355425908	animal behavior and cognition	0	0	0
epidemiology	0.1653734665407166	evolutionary biology	0	0	0
epidemiology	0.16579533753255593	ecology	0	0	0
epidemiology	0.16655094347803256	evolutionary biology	0	0	0
epidemiology	0.16829632401468597	paleontology	0	0	0
epidemiology	0.1699683412975087	evolutionary biology	0	0	0
epidemiology	0.1710693732621491	ecology	0	0	0
epidemiology	0.1715350056163637	zoology	0	0	0
epidemiology	0.1724140105247206	epidemiology	1	0	0
epidemiology	0.17389822059239735	evolutionary biology	0	0	0
epidemiology	0.17537674520051683	ecology	0	0	0
epidemiology	0.17685830230254396	ecology	0	0	0
epidemiology	0.17693411553766103	ecology	0	0	0
epidemiology	0.1801959924901979	plant biology	0	0	0
epidemiology	0.18237785023001307	evolutionary biology	0	0	0
epidemiology	0.1861635009990893	ecology	0	0	0
epidemiology	0.1866081468695273	ecology	0	0	0
epidemiology	0.18726246102188004	evolutionary biology	0	1	0
epidemiology	0.18765149117946656	evolutionary biology	0	0	0
epidemiology	0.18834329478494272	evolutionary biology	0	0	0
epidemiology	0.18915333645329013	ecology	0	1	0
epidemiology	0.18940990449269512	evolutionary biology	0	0	0
epidemiology	0.19024055390389327	epidemiology	1	0	0
