input_doc	distance	class	class_match	keyword_match	ref_match
cancer biology	1.2434497875801753e-14	cancer biology	1	16	0
cancer biology	0.0010483538663067504	cancer biology	1	0	0
cancer biology	0.00196700334289468	molecular biology	0	0	0
cancer biology	0.002333029941387843	cancer biology	1	0	0
cancer biology	0.0024497826810593315	cancer biology	1	0	0
cancer biology	0.0026428133985268998	cancer biology	1	4	0
cancer biology	0.0026665808563494098	cancer biology	1	0	0
cancer biology	0.003053320923886438	cancer biology	1	0	0
cancer biology	0.0031237483501567187	cancer biology	1	1	0
cancer biology	0.0031254817619928987	systems biology	0	0	0
cancer biology	0.0032275314742137295	cancer biology	1	0	0
cancer biology	0.0036433963219054677	cancer biology	1	0	0
cancer biology	0.00365793999535724	cancer biology	1	0	0
cancer biology	0.0037473787581544515	systems biology	0	0	0
cancer biology	0.00382548434393859	cancer biology	1	1	0
cancer biology	0.0040756843149679645	cancer biology	1	0	0
cancer biology	0.004101996115420836	cancer biology	1	1	0
cancer biology	0.004162578227477676	cancer biology	1	2	0
cancer biology	0.004175614226408886	cancer biology	1	1	0
cancer biology	0.004191660015530951	cancer biology	1	0	0
cancer biology	0.0042016013339725156	cancer biology	1	0	0
cancer biology	0.004383063391503628	cancer biology	1	0	0
cancer biology	0.004406637248742129	cancer biology	1	0	0
cancer biology	0.004410431270770343	cancer biology	1	1	0
cancer biology	0.004436421153023673	cancer biology	1	0	0
cancer biology	0.0045057619804199645	cancer biology	1	0	0
cancer biology	0.004532052832018185	cancer biology	1	2	0
cancer biology	0.004593117151909243	cancer biology	1	0	0
cancer biology	0.004597467294316204	cancer biology	1	2	0
cancer biology	0.004604227252218651	cancer biology	1	1	0
cancer biology	0.004633791722855718	cancer biology	1	0	0
cancer biology	0.0046536632800860955	cancer biology	1	0	0
cancer biology	0.00466062580479365	cancer biology	1	1	0
cancer biology	0.004663931721353931	cancer biology	1	1	0
cancer biology	0.0046706504011199135	cancer biology	1	2	0
cancer biology	0.004697490516696767	cancer biology	1	0	0
cancer biology	0.0046980429970746584	systems biology	0	0	0
cancer biology	0.004723191171931318	cancer biology	1	0	0
cancer biology	0.004765501869583355	cancer biology	1	0	0
cancer biology	0.004765831670745069	cancer biology	1	1	0
cancer biology	0.0047770017906630935	bioengineering	0	0	0
cancer biology	0.004783788135134137	cancer biology	1	0	0
cancer biology	0.004853813918468952	cancer biology	1	0	0
cancer biology	0.00490980397199603	cancer biology	1	1	0
cancer biology	0.004919509715548553	cancer biology	1	1	0
cancer biology	0.0049208825773455755	cancer biology	1	0	0
cancer biology	0.0049316121499966	immunology	0	2	0
cancer biology	0.004950823817694516	systems biology	0	0	0
cancer biology	0.00497299875066648	cancer biology	1	0	0
cancer biology	0.0050551046813206435	cell biology	0	0	0
cancer biology	0.00509332351413716	cancer biology	1	3	0
cancer biology	0.005131316815370712	cancer biology	1	1	0
cancer biology	0.005141620990401274	cancer biology	1	0	0
cancer biology	0.005157486984539994	cancer biology	1	0	0
cancer biology	0.005159538130479202	cancer biology	1	0	0
cancer biology	0.005182719730077667	cancer biology	1	0	0
cancer biology	0.005186636060247274	biochemistry	0	1	0
cancer biology	0.005208065526523531	cancer biology	1	0	0
cancer biology	0.005208704074634474	cancer biology	1	0	0
cancer biology	0.00521786601273877	cancer biology	1	0	0
cancer biology	0.0052445298779463245	cancer biology	1	0	0
cancer biology	0.005266560788900421	cancer biology	1	0	0
cancer biology	0.005279382620010931	cancer biology	1	1	0
cancer biology	0.005291677060839883	cancer biology	1	0	0
cancer biology	0.005322687134981963	immunology	0	0	0
cancer biology	0.005329298033491137	cancer biology	1	4	0
cancer biology	0.005339639198713719	cancer biology	1	0	0
cancer biology	0.005344817452509254	cancer biology	1	0	0
cancer biology	0.0053637706924264394	cancer biology	1	1	0
cancer biology	0.0053686575744427145	cancer biology	1	1	0
cancer biology	0.0054772336001446265	cell biology	0	0	0
cancer biology	0.005513763826369367	cancer biology	1	0	0
cancer biology	0.005564292117618885	cancer biology	1	0	0
cancer biology	0.005608527306080635	cancer biology	1	1	0
cancer biology	0.005620865946489362	cancer biology	1	0	0
cancer biology	0.00563053645961098	cancer biology	1	2	0
cancer biology	0.00563587226315998	bioengineering	0	0	0
cancer biology	0.005640953782834468	cancer biology	1	0	0
cancer biology	0.005665388301216323	cancer biology	1	0	0
cancer biology	0.005722612760034829	cancer biology	1	0	0
cancer biology	0.005757500749764222	cancer biology	1	0	0
cancer biology	0.005778721497357142	systems biology	0	0	0
cancer biology	0.005784905542940311	cancer biology	1	0	0
cancer biology	0.00579856947755053	cancer biology	1	0	0
cancer biology	0.0058140144659611925	cancer biology	1	3	0
cancer biology	0.005838834691583528	immunology	0	0	0
cancer biology	0.005840162322080511	cancer biology	1	0	0
cancer biology	0.005857595089592715	cancer biology	1	0	0
cancer biology	0.005913540858866417	cancer biology	1	0	0
cancer biology	0.005916174540349761	cancer biology	1	0	0
cancer biology	0.005962076113665726	immunology	0	0	0
cancer biology	0.005994637918684598	cancer biology	1	3	0
cancer biology	0.006044259135648655	cancer biology	1	0	0
cancer biology	0.006060863690485752	cancer biology	1	1	0
cancer biology	0.006104263111570418	cancer biology	1	2	0
cancer biology	0.006144979798007655	cancer biology	1	0	0
cancer biology	0.006145415301575419	cancer biology	1	2	0
cancer biology	0.006147302122277765	cancer biology	1	0	0
cancer biology	0.006157811911970956	cancer biology	1	0	0
cancer biology	0.006182793172535672	cancer biology	1	0	0
cancer biology	0.006186960022825372	cancer biology	1	2	0
cancer biology	0.006243020708471936	cancer biology	1	0	0
cancer biology	0.0062518730053865434	cancer biology	1	0	0
cancer biology	0.006322738779828141	cancer biology	1	2	0
cancer biology	0.00634426524739351	cancer biology	1	0	0
cancer biology	0.006370857285873055	immunology	0	0	0
cancer biology	0.006377721272150749	cancer biology	1	1	0
cancer biology	0.006390377112883261	cancer biology	1	0	0
cancer biology	0.0064168959197346	immunology	0	0	0
cancer biology	0.006434619779879802	cancer biology	1	1	0
cancer biology	0.006436379582310248	cancer biology	1	1	0
cancer biology	0.006510712389173667	cancer biology	1	0	0
cancer biology	0.006516652948130419	cancer biology	1	0	0
cancer biology	0.006549442391239224	cancer biology	1	1	0
cancer biology	0.006589905163051801	cancer biology	1	2	0
cancer biology	0.00659848234958571	cancer biology	1	2	0
cancer biology	0.006600015789971936	cancer biology	1	1	0
cancer biology	0.006605741110090824	immunology	0	0	0
cancer biology	0.006608633085705917	cancer biology	1	1	0
cancer biology	0.006613963417355095	bioinformatics	0	0	0
cancer biology	0.006619746013391881	cancer biology	1	0	0
cancer biology	0.006633916342736579	cancer biology	1	2	0
cancer biology	0.006667197724485652	immunology	0	0	0
cancer biology	0.00667344544957249	cancer biology	1	4	0
cancer biology	0.006720350909036443	cancer biology	1	0	0
cancer biology	0.0067266819323144045	pharmacology and toxicology	0	0	0
cancer biology	0.006743192790286456	cancer biology	1	0	0
cancer biology	0.0067490345496832305	cancer biology	1	2	0
cancer biology	0.00678899550649148	cancer biology	1	0	0
cancer biology	0.006796458931277782	cancer biology	1	2	0
cancer biology	0.0067991242016465225	molecular biology	0	2	0
cancer biology	0.006848146651209586	cancer biology	1	0	0
cancer biology	0.006855276322982884	cancer biology	1	0	0
cancer biology	0.006889759301635268	cancer biology	1	2	0
cancer biology	0.007017854366101917	cancer biology	1	0	0
cancer biology	0.007046240981119611	cancer biology	1	0	0
cancer biology	0.007065730157940098	cancer biology	1	3	0
cancer biology	0.00707060604978782	cancer biology	1	0	0
cancer biology	0.00712377581941448	cancer biology	1	0	0
cancer biology	0.007142424728528773	cancer biology	1	0	0
cancer biology	0.007156685074407254	cancer biology	1	0	0
cancer biology	0.007160955949669701	cancer biology	1	1	0
cancer biology	0.007204998540354168	cancer biology	1	1	0
cancer biology	0.007209515845501779	cancer biology	1	0	0
cancer biology	0.007217164349309635	cancer biology	1	1	0
cancer biology	0.007217456414125412	cancer biology	1	0	0
cancer biology	0.007236671109079662	cancer biology	1	0	0
cancer biology	0.007243717721988507	cancer biology	1	0	0
cancer biology	0.007273080370288176	cancer biology	1	0	0
cancer biology	0.007277600832782505	cancer biology	1	0	0
cancer biology	0.007354615380404161	cancer biology	1	2	0
cancer biology	0.007370773492142324	cancer biology	1	1	0
cancer biology	0.007385664013499493	cancer biology	1	1	0
cancer biology	0.007394077157324985	biochemistry	0	2	0
cancer biology	0.007426220727977495	immunology	0	0	0
cancer biology	0.007427567609256669	cancer biology	1	0	0
cancer biology	0.007452853042083762	cancer biology	1	2	0
cancer biology	0.007465700090357186	cancer biology	1	0	0
cancer biology	0.007468997050105841	cancer biology	1	0	0
cancer biology	0.007473060487326988	cancer biology	1	0	0
cancer biology	0.007558893601258387	cancer biology	1	0	0
cancer biology	0.007562023931547923	cancer biology	1	0	0
cancer biology	0.007568458371043918	cancer biology	1	1	0
cancer biology	0.007612156825324123	cancer biology	1	0	0
cancer biology	0.007622374589144942	cancer biology	1	0	0
cancer biology	0.007636112531657191	cancer biology	1	1	0
cancer biology	0.007641806156720277	cancer biology	1	1	0
cancer biology	0.007642177250782534	cancer biology	1	0	0
cancer biology	0.00764998633331504	cancer biology	1	0	0
cancer biology	0.007677482894508869	molecular biology	0	0	0
cancer biology	0.007683957228151739	cancer biology	1	0	0
cancer biology	0.0076923770388311885	cancer biology	1	1	0
cancer biology	0.007695032844642791	biophysics	0	0	0
cancer biology	0.007702708604712449	systems biology	0	0	0
cancer biology	0.007772261386722046	cancer biology	1	0	0
cancer biology	0.007780159788025931	bioinformatics	0	0	0
cancer biology	0.0077849068348536665	immunology	0	0	0
cancer biology	0.007797198543992523	cancer biology	1	1	0
cancer biology	0.007810326077488994	cancer biology	1	0	0
cancer biology	0.007818700072105944	cancer biology	1	0	0
cancer biology	0.00782093151007679	cancer biology	1	0	0
cancer biology	0.007827454693223102	cancer biology	1	0	0
cancer biology	0.007856148609714397	cancer biology	1	0	0
cancer biology	0.007870952823133104	cancer biology	1	0	0
cancer biology	0.007878605504909708	cancer biology	1	1	0
cancer biology	0.007879981094351174	cancer biology	1	1	0
cancer biology	0.007913206418275753	cancer biology	1	0	0
cancer biology	0.007949337281280333	cancer biology	1	0	0
cancer biology	0.007968790596885378	cancer biology	1	0	0
cancer biology	0.007970783644191681	cancer biology	1	0	0
cancer biology	0.007981853231562974	cancer biology	1	2	0
cancer biology	0.008004085115663861	genomics	0	0	0
cancer biology	0.008017504287292865	molecular biology	0	1	0
cancer biology	0.00804523379633093	bioengineering	0	0	0
cancer biology	0.008052211164530365	cancer biology	1	2	0
cancer biology	0.008053994175573842	cancer biology	1	0	0
cancer biology	0.008055689631985774	cancer biology	1	0	0
