input_doc	distance	class	class_match	keyword_match	ref_match
epidemiology	0.007857194718325466	epidemiology	1	0	0
epidemiology	0.012920642788104675	ecology	0	0	0
epidemiology	0.026245118155515113	epidemiology	1	0	0
epidemiology	0.02695172331011464	epidemiology	1	0	0
epidemiology	0.027332737474573876	epidemiology	1	0	0
epidemiology	0.027350525956401417	pharmacology and toxicology	0	0	0
epidemiology	0.032108292089604196	epidemiology	1	0	0
epidemiology	0.03270555503398087	animal behavior and cognition	0	0	0
epidemiology	0.03502211789072218	zoology	0	0	0
epidemiology	0.03720796657844405	evolutionary biology	0	0	0
epidemiology	0.040069637535730895	epidemiology	1	0	0
epidemiology	0.043001954092029004	physiology	0	0	0
epidemiology	0.04391700588559455	epidemiology	1	0	0
epidemiology	0.0467913098199122	epidemiology	1	0	0
epidemiology	0.04693704042769109	animal behavior and cognition	0	0	0
epidemiology	0.04729632883115287	pharmacology and toxicology	0	0	0
epidemiology	0.04782002524404816	scientific communication and education	0	0	0
epidemiology	0.0485387822745913	scientific communication and education	0	0	0
epidemiology	0.04878440688601782	epidemiology	1	0	0
epidemiology	0.05040944379154777	scientific communication and education	0	0	0
epidemiology	0.05240099092998063	epidemiology	1	0	0
epidemiology	0.05397886855520018	genetics	0	0	0
epidemiology	0.05426739602965669	epidemiology	1	0	0
epidemiology	0.05526104676790311	epidemiology	1	0	0
epidemiology	0.05707208201106273	epidemiology	1	0	0
epidemiology	0.059061017372996516	physiology	0	0	0
epidemiology	0.06230933292694396	epidemiology	1	0	0
epidemiology	0.06276411002666016	animal behavior and cognition	0	0	0
epidemiology	0.06333269007107989	scientific communication and education	0	0	0
epidemiology	0.06457591408907537	scientific communication and education	0	0	0
epidemiology	0.06524928396337548	developmental biology	0	0	0
epidemiology	0.06556103955535231	epidemiology	1	0	0
epidemiology	0.06693981887517653	epidemiology	1	2	0
epidemiology	0.06731639019349145	epidemiology	1	0	0
epidemiology	0.06887053896421591	epidemiology	1	0	0
epidemiology	0.06937350545714371	scientific communication and education	0	0	0
epidemiology	0.06965574348773385	animal behavior and cognition	0	0	0
epidemiology	0.06969705493866818	genetics	0	0	0
epidemiology	0.0697140258571024	epidemiology	1	0	0
epidemiology	0.06996493988606245	epidemiology	1	0	0
epidemiology	0.0705881067090135	epidemiology	1	0	0
epidemiology	0.07067556295047839	genetics	0	0	0
epidemiology	0.07134187011016702	ecology	0	0	0
epidemiology	0.07418159999046481	epidemiology	1	0	0
epidemiology	0.07800525244629553	epidemiology	1	0	0
epidemiology	0.07916853219763031	epidemiology	1	0	0
epidemiology	0.07933956171789602	epidemiology	1	0	0
epidemiology	0.07937082075246682	epidemiology	1	0	0
epidemiology	0.07979918488244642	ecology	0	0	0
epidemiology	0.08089919688439362	epidemiology	1	0	0
epidemiology	0.0819284233988854	epidemiology	1	0	0
