input_doc	distance	class	class_match	keyword_match	ref_match
epidemiology	0.007857194718325466	epidemiology	1	0	0
epidemiology	0.026245118155515113	epidemiology	1	0	0
epidemiology	0.02695172331011464	epidemiology	1	0	0
epidemiology	0.027332737474573876	epidemiology	1	0	0
epidemiology	0.032108292089604196	epidemiology	1	0	0
epidemiology	0.040069637535730895	epidemiology	1	0	0
epidemiology	0.04391700588559455	epidemiology	1	0	0
epidemiology	0.0467913098199122	epidemiology	1	0	0
epidemiology	0.04878440688601782	epidemiology	1	0	0
epidemiology	0.05240099092998063	epidemiology	1	0	0
epidemiology	0.05426739602965669	epidemiology	1	0	0
epidemiology	0.05526104676790311	epidemiology	1	0	0
epidemiology	0.05707208201106273	epidemiology	1	0	0
epidemiology	0.06230933292694396	epidemiology	1	0	0
epidemiology	0.06556103955535231	epidemiology	1	0	0
epidemiology	0.06693981887517653	epidemiology	1	2	0
epidemiology	0.06731639019349145	epidemiology	1	0	0
epidemiology	0.06887053896421591	epidemiology	1	0	0
epidemiology	0.06965574348773385	animal behavior and cognition	0	0	0
epidemiology	0.0697140258571024	epidemiology	1	0	0
epidemiology	0.06996493988606245	epidemiology	1	0	0
epidemiology	0.0705881067090135	epidemiology	1	0	0
epidemiology	0.07418159999046481	epidemiology	1	0	0
epidemiology	0.07800525244629553	epidemiology	1	0	0
epidemiology	0.07916853219763031	epidemiology	1	0	0
epidemiology	0.07933956171789602	epidemiology	1	0	0
epidemiology	0.07937082075246682	epidemiology	1	0	0
epidemiology	0.07979918488244642	ecology	0	0	0
epidemiology	0.08089919688439362	epidemiology	1	0	0
epidemiology	0.0819284233988854	epidemiology	1	0	0
epidemiology	0.08245484733558273	immunology	0	0	0
epidemiology	0.08318819187584248	epidemiology	1	0	0
epidemiology	0.08401621860784025	physiology	0	0	0
epidemiology	0.08615105279700541	epidemiology	1	0	0
epidemiology	0.08627216661307024	epidemiology	1	0	0
epidemiology	0.08722683115682495	epidemiology	1	0	0
epidemiology	0.08830674528253013	epidemiology	1	0	0
epidemiology	0.08935925558489932	epidemiology	1	0	0
epidemiology	0.09009181071729566	epidemiology	1	0	0
epidemiology	0.0940933966838976	epidemiology	1	0	0
epidemiology	0.09524352534866054	scientific communication and education	0	0	0
epidemiology	0.09571541118975324	epidemiology	1	0	0
epidemiology	0.09681383242888375	bioengineering	0	0	0
epidemiology	0.09801356846268594	scientific communication and education	0	0	0
epidemiology	0.09928735766210517	epidemiology	1	0	0
epidemiology	0.10109922954992423	epidemiology	1	0	0
epidemiology	0.10135669762615995	epidemiology	1	1	0
epidemiology	0.10261285031281919	epidemiology	1	0	0
epidemiology	0.10367604678305076	epidemiology	1	0	0
epidemiology	0.1037399446601368	epidemiology	1	0	0
epidemiology	0.10500169299443984	physiology	0	0	0
epidemiology	0.10517175176105042	epidemiology	1	0	0
