input_doc	distance	class	class_match	keyword_match	ref_match
epidemiology	2.2537527399890678e-14	epidemiology	1	8	1
epidemiology	0.025617536543228403	ecology	0	1	0
epidemiology	0.03578304121816467	evolutionary biology	0	0	0
epidemiology	0.04682882166478841	epidemiology	1	0	0
epidemiology	0.06808314788376513	epidemiology	1	1	0
epidemiology	0.08635376075902623	ecology	0	0	0
epidemiology	0.08843924448399532	epidemiology	1	0	0
epidemiology	0.09845285399026937	epidemiology	1	0	0
epidemiology	0.10056933630144027	epidemiology	1	0	0
epidemiology	0.10499969653228247	epidemiology	1	0	0
epidemiology	0.10953877200130657	ecology	0	0	0
epidemiology	0.12030476288850755	epidemiology	1	0	0
epidemiology	0.1217837677608905	ecology	0	0	0
epidemiology	0.12882204941089404	animal behavior and cognition	0	0	0
epidemiology	0.13046731718480575	ecology	0	0	0
epidemiology	0.13192715383172338	epidemiology	1	0	0
epidemiology	0.13287733961470882	evolutionary biology	0	0	0
epidemiology	0.1353351771825999	ecology	0	0	0
epidemiology	0.1368529882049595	evolutionary biology	0	0	0
epidemiology	0.13789459826976203	ecology	0	0	0
epidemiology	0.13993308746254107	evolutionary biology	0	0	0
epidemiology	0.14164497050617686	evolutionary biology	0	0	0
epidemiology	0.14317237313805198	bioinformatics	0	0	0
epidemiology	0.1433355061693149	ecology	0	0	0
epidemiology	0.1441788273543133	evolutionary biology	0	0	0
epidemiology	0.14427790117341088	evolutionary biology	0	0	0
epidemiology	0.14441825366141725	ecology	0	1	0
epidemiology	0.14479909899524201	evolutionary biology	0	0	0
epidemiology	0.1456627853466259	ecology	0	1	0
epidemiology	0.14605979936303426	evolutionary biology	0	0	0
epidemiology	0.14703298827093958	evolutionary biology	0	0	0
epidemiology	0.14762266770237487	evolutionary biology	0	0	0
epidemiology	0.14822360747290475	animal behavior and cognition	0	0	0
epidemiology	0.14951487146067943	ecology	0	0	0
epidemiology	0.15114510755103705	ecology	0	0	0
epidemiology	0.1514586785313884	ecology	0	0	0
epidemiology	0.1533100805078531	ecology	0	0	0
epidemiology	0.1533240317005542	evolutionary biology	0	0	0
epidemiology	0.15374806444457179	evolutionary biology	0	0	0
epidemiology	0.15396336933041632	evolutionary biology	0	0	0
epidemiology	0.15413198633865044	ecology	0	1	0
epidemiology	0.15419859878264075	ecology	0	0	0
epidemiology	0.1543325656496657	evolutionary biology	0	0	0
epidemiology	0.1545080984768662	evolutionary biology	0	0	0
epidemiology	0.15470456011580058	evolutionary biology	0	0	0
epidemiology	0.15495134654427745	ecology	0	0	0
epidemiology	0.15500469613887113	microbiology	0	0	0
epidemiology	0.15504358643708793	evolutionary biology	0	0	0
epidemiology	0.15516894158114636	ecology	0	0	0
epidemiology	0.155603322082848	evolutionary biology	0	0	0
epidemiology	0.15560954193571208	ecology	0	0	0
epidemiology	0.155729176925407	animal behavior and cognition	0	0	0
epidemiology	0.15584209531587956	evolutionary biology	0	0	0
epidemiology	0.15590183215972497	evolutionary biology	0	0	0
epidemiology	0.1562337804390561	evolutionary biology	0	0	0
epidemiology	0.15678786904362385	ecology	0	0	0
epidemiology	0.15726781396487133	ecology	0	0	0
epidemiology	0.15746195233723514	evolutionary biology	0	0	0
epidemiology	0.15756896563831335	plant biology	0	0	0
epidemiology	0.15775633593597893	ecology	0	0	0
epidemiology	0.15789523023254892	evolutionary biology	0	0	0
epidemiology	0.15840052921853476	evolutionary biology	0	0	0
epidemiology	0.15937983135576983	evolutionary biology	0	0	0
epidemiology	0.15938721262394084	evolutionary biology	0	0	0
epidemiology	0.15948506211838087	ecology	0	0	0
epidemiology	0.16002920699054446	genomics	0	0	0
epidemiology	0.16009788155325422	ecology	0	0	0
epidemiology	0.1616752722800262	epidemiology	1	0	0
epidemiology	0.16220651280359621	evolutionary biology	0	0	0
epidemiology	0.1625372212480788	ecology	0	0	0
epidemiology	0.16259617623150313	ecology	0	0	0
epidemiology	0.16270217867248837	evolutionary biology	0	0	0
epidemiology	0.1630349042601561	epidemiology	1	0	0
epidemiology	0.16316955493792162	evolutionary biology	0	0	0
epidemiology	0.16345725504760455	ecology	0	0	0
epidemiology	0.16374038520921597	scientific communication and education	0	0	0
epidemiology	0.16380121197796993	zoology	0	0	0
epidemiology	0.1640179944118355	ecology	0	0	0
epidemiology	0.16419898421124957	ecology	0	0	0
epidemiology	0.16457250275834534	evolutionary biology	0	0	0
epidemiology	0.16512595046520395	epidemiology	1	1	0
epidemiology	0.16525817587011626	paleontology	0	0	0
epidemiology	0.16527440650798675	animal behavior and cognition	0	0	0
epidemiology	0.16530575121544377	epidemiology	1	0	0
epidemiology	0.1653735412214814	evolutionary biology	0	0	0
epidemiology	0.16579542709549888	ecology	0	0	0
epidemiology	0.16603733271453824	ecology	0	0	0
epidemiology	0.16615405874689027	microbiology	0	0	0
epidemiology	0.1664352706672486	evolutionary biology	0	0	0
epidemiology	0.1665509534090175	evolutionary biology	0	0	0
epidemiology	0.16671271103161378	ecology	0	0	0
epidemiology	0.16678176059828675	evolutionary biology	0	0	0
epidemiology	0.16722951291933452	evolutionary biology	0	0	0
epidemiology	0.1673126163669939	ecology	0	0	0
epidemiology	0.16746649571365746	ecology	0	0	0
epidemiology	0.16769175825066396	ecology	0	0	0
epidemiology	0.16813665346043116	animal behavior and cognition	0	0	0
epidemiology	0.16829632988128373	paleontology	0	0	0
epidemiology	0.1699684355650911	evolutionary biology	0	0	0
epidemiology	0.17003943982527248	evolutionary biology	0	0	0
epidemiology	0.1705228857979284	evolutionary biology	0	0	0
epidemiology	0.1706369338964573	ecology	0	0	0
epidemiology	0.1710694707065794	ecology	0	0	0
epidemiology	0.1715350098937427	zoology	0	0	0
epidemiology	0.17156826448060825	ecology	0	0	0
epidemiology	0.17241388263894541	epidemiology	1	0	0
epidemiology	0.1725318674908628	zoology	0	0	0
epidemiology	0.17263111397651276	ecology	0	0	0
epidemiology	0.17271177870065846	evolutionary biology	0	0	0
epidemiology	0.17361104510735204	evolutionary biology	0	0	0
epidemiology	0.17369706683863728	ecology	0	0	0
epidemiology	0.17388125380397512	epidemiology	1	0	0
epidemiology	0.17389822198873395	evolutionary biology	0	0	0
epidemiology	0.17445815658367414	epidemiology	1	0	0
epidemiology	0.17517002856842812	ecology	0	0	0
epidemiology	0.1752966131895627	ecology	0	0	0
epidemiology	0.1753768214120658	ecology	0	0	0
epidemiology	0.17611268978268702	evolutionary biology	0	0	0
epidemiology	0.17672570792956366	ecology	0	0	0
epidemiology	0.1768584066804314	ecology	0	0	0
epidemiology	0.17687276305242638	evolutionary biology	0	0	0
epidemiology	0.17693417971514802	ecology	0	0	0
