input_doc	distance	class	class_match	keyword_match	ref_match
epidemiology	0.009076853897561854	epidemiology	1	0	0
epidemiology	0.009116323480546584	epidemiology	1	0	0
epidemiology	0.03417365570343511	epidemiology	1	0	0
epidemiology	0.04175000433571863	pathology	0	0	0
epidemiology	0.04957620392526274	epidemiology	1	0	0
epidemiology	0.05934796478701021	microbiology	0	0	0
epidemiology	0.06125368098875439	evolutionary biology	0	0	0
epidemiology	0.06430918840499944	epidemiology	1	0	0
epidemiology	0.07137188567883646	epidemiology	1	0	0
epidemiology	0.0729429873551074	epidemiology	1	0	0
epidemiology	0.07567051741722819	ecology	0	0	0
epidemiology	0.0812686126479808	evolutionary biology	0	0	0
epidemiology	0.0928454087311803	zoology	0	0	0
epidemiology	0.09346966463001227	epidemiology	1	0	0
epidemiology	0.09440452501980345	ecology	0	0	0
epidemiology	0.09577175671990601	epidemiology	1	0	0
epidemiology	0.0984642244703815	epidemiology	1	0	0
epidemiology	0.1017662388054994	epidemiology	1	0	0
epidemiology	0.10462220373643571	ecology	0	0	0
epidemiology	0.11012771745227568	genetics	0	0	0
epidemiology	0.11180073053281137	epidemiology	1	0	0
epidemiology	0.11356704112468974	epidemiology	1	0	0
epidemiology	0.13189671306650586	microbiology	0	0	0
epidemiology	0.13263012531260954	ecology	0	0	0
epidemiology	0.1498184749515209	epidemiology	1	0	0
epidemiology	0.15029013826082027	microbiology	0	0	0
epidemiology	0.15325161800593268	epidemiology	1	0	0
epidemiology	0.1574098182070256	epidemiology	1	0	0
epidemiology	0.15862284641055935	genomics	0	0	0
epidemiology	0.1595867355879187	microbiology	0	0	0
epidemiology	0.16000444597179464	genetics	0	0	0
epidemiology	0.16322057760238007	microbiology	0	0	0
epidemiology	0.16650276965952637	epidemiology	1	0	0
epidemiology	0.1665163751388533	epidemiology	1	0	0
epidemiology	0.16729059031305815	ecology	0	0	0
epidemiology	0.1691882509751642	microbiology	0	0	0
epidemiology	0.17173192562901263	epidemiology	1	0	0
epidemiology	0.17177322735777134	biochemistry	0	0	0
epidemiology	0.17369023636153047	epidemiology	1	0	0
epidemiology	0.17378439174122473	epidemiology	1	0	0
epidemiology	0.1752450343856905	microbiology	0	0	0
epidemiology	0.17752258464290482	epidemiology	1	0	0
epidemiology	0.1787287969361423	immunology	0	0	0
epidemiology	0.17881234665972545	epidemiology	1	1	0
epidemiology	0.1793592913880837	epidemiology	1	0	0
epidemiology	0.17948488921536665	microbiology	0	0	0
epidemiology	0.17970921247713123	epidemiology	1	0	0
epidemiology	0.1797365163340836	epidemiology	1	0	0
epidemiology	0.17983082109798898	epidemiology	1	0	0
epidemiology	0.18051366422512705	epidemiology	1	0	0
epidemiology	0.18052730489313196	bioinformatics	0	0	0
epidemiology	0.18073770584184445	epidemiology	1	0	0
epidemiology	0.18083306504751406	epidemiology	1	2	0
epidemiology	0.18096862178567863	epidemiology	1	0	0
epidemiology	0.18099388150022122	epidemiology	1	0	0
epidemiology	0.18114642844831108	epidemiology	1	0	0
epidemiology	0.18125867294971465	epidemiology	1	0	0
epidemiology	0.1814138844240858	epidemiology	1	0	0
epidemiology	0.18185120162110624	clinical trials	0	0	0
epidemiology	0.18190637988013436	ecology	0	1	0
epidemiology	0.18194444768597529	microbiology	0	0	0
epidemiology	0.1825259979620183	microbiology	0	0	0
epidemiology	0.1827732870829749	bioinformatics	0	1	0
epidemiology	0.18380561231321013	bioinformatics	0	0	0
epidemiology	0.18384928543166923	systems biology	0	0	0
epidemiology	0.18393761058957026	scientific communication and education	0	0	0
epidemiology	0.18414584044611448	epidemiology	1	0	0
epidemiology	0.1844227068013401	epidemiology	1	0	0
epidemiology	0.18444770158056734	microbiology	0	0	0
epidemiology	0.184490932985649	epidemiology	1	0	0
epidemiology	0.18465945267785	epidemiology	1	0	0
epidemiology	0.18488157637599745	genetics	0	0	0
epidemiology	0.18489673615319435	clinical trials	0	0	0
epidemiology	0.18492975988385008	bioinformatics	0	0	0
epidemiology	0.1850260686705606	molecular biology	0	0	0
epidemiology	0.18505447152174603	pathology	0	0	0
epidemiology	0.18512922714179758	epidemiology	1	0	0
epidemiology	0.18515082791377713	epidemiology	1	0	0
epidemiology	0.18519816199228967	pathology	0	0	0
epidemiology	0.18524608973746848	microbiology	0	0	0
epidemiology	0.18524928264225227	microbiology	0	0	0
epidemiology	0.1853155625788384	epidemiology	1	0	0
epidemiology	0.1853260496544158	microbiology	0	0	0
epidemiology	0.18536548449796975	microbiology	0	0	0
epidemiology	0.18539242603287143	bioinformatics	0	0	0
epidemiology	0.18539411563905583	epidemiology	1	0	0
epidemiology	0.18547787669357418	epidemiology	1	0	0
epidemiology	0.1854781795962145	epidemiology	1	0	0
epidemiology	0.18555215060113273	microbiology	0	0	0
epidemiology	0.18558028135925375	epidemiology	1	0	0
epidemiology	0.18567147997446087	epidemiology	1	0	0
epidemiology	0.18568272051173373	epidemiology	1	0	0
epidemiology	0.18570266061065754	genetics	0	0	0
epidemiology	0.1857168730743758	epidemiology	1	0	0
epidemiology	0.18574124546335102	epidemiology	1	0	0
epidemiology	0.1857484419209342	pharmacology and toxicology	0	0	0
epidemiology	0.18575978675173566	epidemiology	1	0	0
epidemiology	0.18581781109314766	epidemiology	1	0	0
epidemiology	0.18584576944075404	molecular biology	0	0	0
epidemiology	0.185870733243646	epidemiology	1	0	0
epidemiology	0.18592004533047535	microbiology	0	0	0
epidemiology	0.18592501562302644	microbiology	0	0	0
epidemiology	0.18593501841793747	epidemiology	1	0	0
epidemiology	0.18599742897601235	epidemiology	1	0	0
epidemiology	0.18601757245822603	epidemiology	1	0	0
epidemiology	0.18602067473351913	epidemiology	1	0	0
epidemiology	0.1860566961489497	epidemiology	1	0	0
epidemiology	0.18606285627743469	epidemiology	1	0	0
epidemiology	0.18607228792179764	scientific communication and education	0	0	0
epidemiology	0.1861021906938799	epidemiology	1	0	0
epidemiology	0.18610773852714924	epidemiology	1	0	0
epidemiology	0.18615343959033015	epidemiology	1	0	0
epidemiology	0.18616166574174597	epidemiology	1	0	0
