input_doc	distance	class	class_match	keyword_match	ref_match
epidemiology	9.980904991380157e-14	epidemiology	1	8	1
epidemiology	0.0049185071941808545	epidemiology	1	1	0
epidemiology	0.007916350887209656	epidemiology	1	0	0
epidemiology	0.009076866779709203	epidemiology	1	0	0
epidemiology	0.009116300191805093	epidemiology	1	0	0
epidemiology	0.009184395571256054	epidemiology	1	0	0
epidemiology	0.015532284152614984	epidemiology	1	0	0
epidemiology	0.0162942804439018	ecology	0	0	0
epidemiology	0.017696065740218314	evolutionary biology	0	0	0
epidemiology	0.0215046081789515	ecology	0	0	0
epidemiology	0.026426976250222944	epidemiology	1	0	0
epidemiology	0.03417359481968407	epidemiology	1	0	0
epidemiology	0.036445798377557126	bioengineering	0	0	0
epidemiology	0.036806947074475516	ecology	0	0	0
epidemiology	0.040234595644678905	epidemiology	1	0	0
epidemiology	0.04175004091605794	pathology	0	0	0
epidemiology	0.04351855453601994	epidemiology	1	0	0
epidemiology	0.04957623394333921	epidemiology	1	0	0
epidemiology	0.05197243284014186	microbiology	0	0	0
epidemiology	0.05526332009380708	epidemiology	1	0	0
epidemiology	0.05934790145896718	microbiology	0	0	0
epidemiology	0.060344095606422066	epidemiology	1	0	0
epidemiology	0.060808354280037724	epidemiology	1	0	0
epidemiology	0.06125372954929198	evolutionary biology	0	0	0
epidemiology	0.0625641467206306	ecology	0	0	0
epidemiology	0.06430924346635436	epidemiology	1	0	0
epidemiology	0.07058740732673485	ecology	0	0	0
epidemiology	0.07137185811679814	epidemiology	1	0	0
epidemiology	0.07294289813315091	epidemiology	1	0	0
epidemiology	0.08092912810055619	epidemiology	1	0	0
epidemiology	0.0812685183808709	evolutionary biology	0	0	0
epidemiology	0.08833141909927367	epidemiology	1	0	0
epidemiology	0.09284530812899572	zoology	0	0	0
epidemiology	0.09346956271187312	epidemiology	1	0	0
epidemiology	0.09440462073699885	ecology	0	0	0
epidemiology	0.09577170081892294	epidemiology	1	0	0
epidemiology	0.09846412024490192	epidemiology	1	0	0
epidemiology	0.10021888471051987	epidemiology	1	0	0
epidemiology	0.10061742610244695	epidemiology	1	0	0
epidemiology	0.10176613342108587	epidemiology	1	0	0
epidemiology	0.10290474862176979	epidemiology	1	0	0
epidemiology	0.10546993253937831	microbiology	0	0	0
epidemiology	0.10596846078388333	epidemiology	1	0	0
epidemiology	0.10794112679386436	ecology	0	0	0
epidemiology	0.1093738025168639	epidemiology	1	0	0
epidemiology	0.10987109359737335	epidemiology	1	0	0
epidemiology	0.11180064163255954	epidemiology	1	0	0
epidemiology	0.11232970866326497	epidemiology	1	1	0
epidemiology	0.11312881790789286	epidemiology	1	0	0
epidemiology	0.11356693063547507	epidemiology	1	0	0
epidemiology	0.11360822373515755	epidemiology	1	1	0
epidemiology	0.12876292436900216	evolutionary biology	0	0	0
epidemiology	0.12881652237057595	epidemiology	1	0	0
epidemiology	0.13263019347841631	ecology	0	0	0
epidemiology	0.13465175023061504	bioinformatics	0	0	0
epidemiology	0.13635963004749263	epidemiology	1	0	0
epidemiology	0.1364254894774528	epidemiology	1	1	0
epidemiology	0.139088410551229	epidemiology	1	0	0
epidemiology	0.14170246722934532	epidemiology	1	0	0
epidemiology	0.14681482286566006	epidemiology	1	0	0
epidemiology	0.14713655671079529	epidemiology	1	0	0
epidemiology	0.14845218469776533	epidemiology	1	1	0
epidemiology	0.14903616223074334	epidemiology	1	0	0
epidemiology	0.1490762173194442	ecology	0	0	0
epidemiology	0.14921712891449312	ecology	0	0	0
epidemiology	0.14922677992347422	microbiology	0	0	0
